StudentId,Race,Gender,ClassId,Teacher
6,Martian,M,1,TeacherA
14,Venutian,F,1,TeacherA
22,Atlantean,NB,1,TeacherA
30,Atlantean,F,1,TeacherA
38,Liliputian,M,1,TeacherA
46,Atlantean,F,1,TeacherA
54,Liliputian,F,1,TeacherA
62,Venutian,F,1,TeacherA
70,Martian,M,1,TeacherA
78,Martian,M,1,TeacherA
86,Atlantean,F,1,TeacherA
94,Atlantean,NB,1,TeacherA
102,Venutian,F,1,TeacherA
110,Venutian,F,1,TeacherA
118,Venutian,F,1,TeacherA
126,Martian,M,1,TeacherA
134,Atlantean,F,1,TeacherA
142,Atlantean,M,1,TeacherA
150,Atlantean,F,1,TeacherA
158,Venutian,F,1,TeacherA
166,Liliputian,M,1,TeacherA
174,Venutian,F,1,TeacherA
182,Atlantean,M,1,TeacherA
190,Venutian,F,1,TeacherA
198,Martian,M,1,TeacherA
206,Venutian,F,1,TeacherA
214,Atlantean,F,1,TeacherA
222,Martian,M,1,TeacherA
230,Venutian,F,1,TeacherA
238,Martian,M,1,TeacherA
8,Atlantean,F,2,TeacherA
16,Martian,M,2,TeacherA
24,Martian,M,2,TeacherA
32,Martian,M,2,TeacherA
40,Atlantean,M,2,TeacherA
48,Venutian,F,2,TeacherA
56,Atlantean,F,2,TeacherA
64,Atlantean,M,2,TeacherA
72,Atlantean,M,2,TeacherA
80,Liliputian,NB,2,TeacherA
88,Venutian,F,2,TeacherA
96,Martian,M,2,TeacherA
104,Atlantean,M,2,TeacherA
112,Atlantean,F,2,TeacherA
120,Atlantean,F,2,TeacherA
128,Venutian,F,2,TeacherA
136,Atlantean,F,2,TeacherA
144,Atlantean,M,2,TeacherA
152,Martian,M,2,TeacherA
160,Martian,M,2,TeacherA
168,Atlantean,M,2,TeacherA
176,Liliputian,F,2,TeacherA
184,Atlantean,M,2,TeacherA
192,Venutian,F,2,TeacherA
200,Martian,M,2,TeacherA
208,Atlantean,F,2,TeacherA
216,Venutian,F,2,TeacherA
224,Martian,M,2,TeacherA
232,Atlantean,F,2,TeacherA
240,Venutian,F,2,TeacherA
5,Liliputian,F,3,TeacherB
13,Martian,M,3,TeacherB
21,Atlantean,M,3,TeacherB
29,Martian,M,3,TeacherB
37,Venutian,F,3,TeacherB
45,Martian,M,3,TeacherB
53,Martian,M,3,TeacherB
61,Atlantean,M,3,TeacherB
69,Martian,M,3,TeacherB
77,Venutian,F,3,TeacherB
85,Atlantean,NB,3,TeacherB
93,Atlantean,M,3,TeacherB
101,Venutian,F,3,TeacherB
109,Liliputian,M,3,TeacherB
117,Liliputian,M,3,TeacherB
125,Liliputian,M,3,TeacherB
133,Venutian,F,3,TeacherB
141,Martian,M,3,TeacherB
149,Atlantean,NB,3,TeacherB
157,Atlantean,NB,3,TeacherB
165,Atlantean,F,3,TeacherB
173,Martian,,3,TeacherB
181,Venutian,F,3,TeacherB
189,Martian,M,3,TeacherB
197,Atlantean,NB,3,TeacherB
205,Martian,M,3,TeacherB
213,Liliputian,NB,3,TeacherB
221,Atlantean,F,3,TeacherB
229,Atlantean,F,3,TeacherB
237,Atlantean,NB,3,TeacherB
4,Atlantean,NB,4,TeacherB
12,Venutian,F,4,TeacherB
20,Liliputian,NB,4,TeacherB
28,Atlantean,M,4,TeacherB
36,Atlantean,F,4,TeacherB
44,Venutian,F,4,TeacherB
52,Martian,M,4,TeacherB
60,Atlantean,M,4,TeacherB
68,Martian,M,4,TeacherB
76,Liliputian,F,4,TeacherB
84,Venutian,F,4,TeacherB
92,Liliputian,M,4,TeacherB
100,Venutian,F,4,TeacherB
108,Atlantean,NB,4,TeacherB
116,Atlantean,F,4,TeacherB
124,Atlantean,NB,4,TeacherB
132,Martian,M,4,TeacherB
140,Atlantean,NB,4,TeacherB
148,Martian,M,4,TeacherB
156,Venutian,F,4,TeacherB
164,Liliputian,F,4,TeacherB
172,Martian,M,4,TeacherB
180,Venutian,F,4,TeacherB
188,Martian,M,4,TeacherB
196,Liliputian,NB,4,TeacherB
204,Venutian,F,4,TeacherB
212,Atlantean,NB,4,TeacherB
220,Martian,M,4,TeacherB
228,Atlantean,F,4,TeacherB
236,Atlantean,M,4,TeacherB
7,Martian,M,5,TeacherC
15,Venutian,F,5,TeacherC
23,Atlantean,M,5,TeacherC
31,Venutian,F,5,TeacherC
39,Liliputian,M,5,TeacherC
47,Atlantean,NB,5,TeacherC
55,Atlantean,F,5,TeacherC
63,Liliputian,M,5,TeacherC
71,Liliputian,M,5,TeacherC
79,Venutian,F,5,TeacherC
87,Venutian,F,5,TeacherC
95,Venutian,F,5,TeacherC
103,Atlantean,NB,5,TeacherC
111,Venutian,F,5,TeacherC
119,Atlantean,NB,5,TeacherC
127,Atlantean,NB,5,TeacherC
135,Martian,M,5,TeacherC
143,Atlantean,NB,5,TeacherC
151,Venutian,F,5,TeacherC
159,Martian,M,5,TeacherC
167,Martian,M,5,TeacherC
175,Liliputian,M,5,TeacherC
183,Atlantean,NB,5,TeacherC
191,Atlantean,NB,5,TeacherC
199,Atlantean,NB,5,TeacherC
207,Martian,M,5,TeacherC
215,Venutian,F,5,TeacherC
223,Venutian,F,5,TeacherC
231,Atlantean,NB,5,TeacherC
239,Martian,M,5,TeacherC
3,Venutian,F,6,TeacherC
11,Atlantean,F,6,TeacherC
19,Liliputian,M,6,TeacherC
27,Venutian,F,6,TeacherC
35,Atlantean,M,6,TeacherC
43,Liliputian,M,6,TeacherC
51,Martian,M,6,TeacherC
59,Atlantean,F,6,TeacherC
67,Venutian,Fe,6,TeacherC
75,Liliputian,M,6,TeacherC
83,Martian,M,6,TeacherC
91,Venutian,F,6,TeacherC
99,Atlantean,NB,6,TeacherC
107,Atlantean,M,6,TeacherC
115,Atlantean,F,6,TeacherC
123,Atlantean,F,6,TeacherC
131,Liliputian,M,6,TeacherC
139,Martian,M,6,TeacherC
147,Venutian,F,6,TeacherC
155,Atlantean,F,6,TeacherC
163,Atlantean,F,6,TeacherC
171,Atlantean,M,6,TeacherC
179,Martian,M,6,TeacherC
187,Atlantean,M,6,TeacherC
195,Atlantean,F,6,TeacherC
203,Martian,M,6,TeacherC
211,Martian,M,6,TeacherC
219,Martian,M,6,TeacherC
227,Atlantean,F,6,TeacherC
235,Martian,M,6,TeacherC
1,Martian,M,7,TeacherD
9,Atlantean,M,7,TeacherD
17,Atlantean,NB,7,TeacherD
25,Atlantean,F,7,TeacherD
33,Venutian,F,7,TeacherD
41,Atlantean,NB,7,TeacherD
49,Atlantean,F,7,TeacherD
57,Atlantean,F,7,TeacherD
65,Atlantean,M,7,TeacherD
73,Atlantean,M,7,TeacherD
81,Venutian,F,7,TeacherD
89,Martian,M,7,TeacherD
97,Martian,M,7,TeacherD
105,Atlantean,M,7,TeacherD
113,Venutian,F,7,TeacherD
121,Atlantean,M,7,TeacherD
129,Venutian,F,7,TeacherD
137,Venutian,F,7,TeacherD
145,Atlantean,NB,7,TeacherD
153,Atlantean,F,7,TeacherD
161,Atlantean,NB,7,TeacherD
169,Venutian,F,7,TeacherD
177,Martian,M,7,TeacherD
185,Venutian,F,7,TeacherD
193,Atlantean,F,7,TeacherD
201,Liliputian,NB,7,TeacherD
209,Liliputian,M,7,TeacherD
217,Atlantean,NB,7,TeacherD
225,Venutian,F,7,TeacherD
233,Martian,M,7,TeacherD
2,Martian,M,8,TeacherD
10,Venutian,F,8,TeacherD
18,Liliputian,M,8,TeacherD
26,Venutian,F,8,TeacherD
34,Martian,M,8,TeacherD
42,Martian,M,8,TeacherD
50,Venutian,F,8,TeacherD
58,Martian,M,8,TeacherD
66,Atlantean,NB,8,TeacherD
